Name,ChEMBL_ID,SMILES
FLUOXETINE,CHEMBL41,CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2
SULFAMETHOXAZOLE,CHEMBL443,Cc1onc(NS(=O)(=O)c2ccc(N)cc2)c1
BARBITAL,CHEMBL444,CCC1(CC)C(=O)NC(=O)NC1=O
CLOZAPINE,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24
NORTRIPTYLINE,CHEMBL445,CNCCC=C1c2ccccc2CCc3ccccc13
SULFAMETHAZINE,CHEMBL446,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
SECOBARBITAL,CHEMBL447,CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O
PENTOBARBITAL,CHEMBL448,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
AMOBARBITAL,CHEMBL267894,CCC1(CCC(C)C)C(=O)NC(=NC1=O)O
BUTABARBITAL,CHEMBL449,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
METHARBITAL,CHEMBL450,CCC1(CC)C(=O)NC(=O)N(C)C1=O
CHLORDIAZEPOXIDE,CHEMBL451,CNC1=Nc2ccc(Cl)cc2C(=[N+]([O-])C1)c3ccccc3
CLONAZEPAM,CHEMBL452,[O-][N+](=O)c1ccc2NC(=O)CN=C(c3ccccc3Cl)c2c1
SULFISOXAZOLE,CHEMBL453,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
SULFAMETHOXYPYRIDAZINE,CHEMBL268869,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
BUTALBITAL,CHEMBL454,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O
SULFACETAMIDE,CHEMBL455,CC(=O)NS(=O)(=O)c1ccc(N)cc1
AMSACRINE,CHEMBL43,COc1cc(NS(=O)(=O)C)ccc1Nc2c3ccccc3nc4ccccc24
ETHACRYNIC ACID,CHEMBL456,CCC(=C)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
TICRYNAFEN,CHEMBL267744,OC(=O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl
GEMFIBROZIL,CHEMBL457,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
MELATONIN,CHEMBL45,COc1ccc2[nH]cc(CCNC(=O)C)c2c1
ONDANSETRON,CHEMBL46,Cc1nccn1CC2CCc3c(C2=O)c4ccccc4n3C
BUSPIRONE,CHEMBL49,O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)c4ncccn4
KETANSERIN,CHEMBL51,Fc1ccc(cc1)C(=O)C2CCN(CCN3C(=O)Nc4ccccc4C3=O)CC2
METHYLDOPA,CHEMBL459,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
MOLINDONE,CHEMBL460,CCc1c(C)[nH]c2CCC(CN3CCOCC3)C(=O)c12
APOMORPHINE,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34
HALOPERIDOL,CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3
PENTAMIDINE,CHEMBL55,NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(=N)N)cc1
AMINOHIPPURIC ACID,CHEMBL463,Nc1ccc(cc1)C(=O)NCC(=O)O
ETRETINATE,CHEMBL464,CCOC(=O)\C=C(/C)\C=C\C=C(/C)\C=C\c1c(C)cc(OC)c(C)c1C
NEVIRAPINE,CHEMBL57,Cc1ccnc2N(C3CC3)c4ncccc4C(=O)Nc12
DRONABINOL,CHEMBL465,CCCCCc1cc(O)c2[C@@H]3C=C(C)CC[C@H]3C(C)(C)Oc2c1
MITOXANTRONE,CHEMBL58,OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12
DOPAMINE,CHEMBL59,NCCc1ccc(O)c(O)c1
HYDROXYUREA,CHEMBL467,NC(=O)NO
PODOFILOX,CHEMBL61,COc1cc(cc(OC)c1OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](O)c4cc5OCOc5cc24
ISONIAZID,CHEMBL64,NNC(=O)c1ccncc1
THALIDOMIDE,CHEMBL468,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
KETOROLAC,CHEMBL469,OC(=O)C1CCn2c1ccc2C(=O)c3ccccc3
SOTALOL,CHEMBL471,CC(C)NCC(O)c1ccc(NS(=O)(=O)C)cc1
GLYBURIDE,CHEMBL472,COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3
DOFETILIDE,CHEMBL473,CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2
DACARBAZINE,CHEMBL476,CN(C)\N=N\c1[nH]cnc1C(=O)N
ADENOSINE,CHEMBL477,Nc1ncnc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O
THIORIDAZINE,CHEMBL479,CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1
LANSOPRAZOLE,CHEMBL480,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c2nc3ccccc3[nH]2
IRINOTECAN,CHEMBL481,CCc1c2CN3C(=O)C4=C(C=C3c2nc5ccc(OC(=O)N6CCC(CC6)N7CCCCC7)cc15)[C@@](O)(CC)C(=O)OC4
MORPHINE,CHEMBL70,CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@@H]2C=C[C@@H]4O)c35
CODEINE,CHEMBL485,COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C
CHLORPROMAZINE,CHEMBL71,CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13
DESIPRAMINE,CHEMBL72,CNCCCN1c2ccccc2CCc3ccccc13
AMINOGLUTETHIMIDE,CHEMBL488,CCC1(CCC(=O)NC1=O)c2ccc(N)cc2
CROMOLYN SODIUM,CHEMBL74,[Na+].[Na+].OC(COc1cccc2OC(=CC(=O)c12)C(=O)[O-])COc3cccc4OC(=CC(=O)c34)C(=O)[O-]
CHLOROQUINE,CHEMBL76,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
PAROXETINE,CHEMBL490,Fc1ccc(cc1)[C@@H]2CCNC[C@H]2COc3ccc4OCOc4c3
ETORICOXIB,CHEMBL416146,Cc1ccc(cn1)c2ncc(Cl)cc2c3ccc(cc3)S(=O)(=O)C
LIDOCAINE,CHEMBL79,CCN(CC)CC(=O)Nc1c(C)cccc1C
PIRENZEPINE,CHEMBL9967,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc4cccnc24)CC1
ETIDOCAINE,CHEMBL492,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C
NALOXONE,CHEMBL80,Oc1ccc2C[C@H]3N(CC=C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O
RALOXIFENE,CHEMBL81,Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4
TAMOXIFEN,CHEMBL83,CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3
BROMOCRIPTINE,CHEMBL493,CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C
ILOPROST,CHEMBL494,CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(=C/CCCC(=O)O)\C[C@H]12
TOPOTECAN,CHEMBL84,CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(CN(C)C)c(O)ccc5nc34)C2=O
RISPERIDONE,CHEMBL85,CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1
CROMOLYN,CHEMBL428880,OC(COc1cccc2OC(=CC(=O)c12)C(=O)O)COc3cccc4OC(=CC(=O)c34)C(=O)O
METOCLOPRAMIDE,CHEMBL86,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
PACLITAXEL,CHEMBL428647,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C
ALPROSTADIL,CHEMBL495,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
HEXACHLOROPHENE,CHEMBL496,Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl
CLIOQUINOL,CHEMBL497,Oc1c(I)cc(Cl)c2cccnc12
AGOMELATINE,CHEMBL10878,COc1ccc2cccc(CCNC(=O)C)c2c1
CYCLOPHOSPHAMIDE,CHEMBL88,ClCCN(CCCl)P1(=O)NCCCO1
CHLORPROPAMIDE,CHEMBL498,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
TIMOLOL,CHEMBL499,CC(C)(C)NC[C@H](O)COc1nsnc1N2CCOCC2
PINDOLOL,CHEMBL500,CC(C)NCC(O)COc1cccc2[nH]ccc12
HYDRALAZINE,CHEMBL276832,NNc1nncc2ccccc12
AMPHETAMINE SULFATE,CHEMBL501,CC(N)Cc1ccccc1.OS(=O)(=O)O
AMPHOTERICIN B,CHEMBL267345,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@H]([C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@H]1C)O2)C(=O)O
HISTAMINE,CHEMBL90,NCCc1c[nH]cn1
MICONAZOLE,CHEMBL91,Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1
DOCETAXEL,CHEMBL92,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccc6)C(=C([C@@H](O)C3=O)C5(C)C)C
ZILEUTON,CHEMBL93,CC(N(O)C(=O)N)c1cc2ccccc2s1
PHYSOSTIGMINE,CHEMBL94,CNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1
TACRINE,CHEMBL95,Nc1c2CCCCc2nc3ccccc13
DONEPEZIL,CHEMBL502,COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC
LOVASTATIN,CHEMBL503,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
BENZYDAMINE,CHEMBL12610,CN(C)CCCOc1nn(Cc2ccccc2)c3ccccc13
DIMETHYL SULFOXIDE,CHEMBL504,C[S+](C)[O-]
CHLORPHENIRAMINE,CHEMBL505,CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2
PRIMAQUINE,CHEMBL506,COc1cc(NC(C)CCCN)c2ncccc2c1
MECLOFENAMIC ACID,CHEMBL509,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl
PYRILAMINE,CHEMBL511,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
SERTINDOLE,CHEMBL12713,Fc1ccc(cc1)n2cc(C3CCN(CCN4CCNC4=O)CC3)c5cc(Cl)ccc25
CARMUSTINE,CHEMBL513,ClCCNC(=O)N(CCCl)N=O
LOMUSTINE,CHEMBL514,ClCCN(N=O)C(=O)NC1CCCCC1
CHLORAMBUCIL,CHEMBL515,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl
CYPROHEPTADINE,CHEMBL516,CN1CCC(=C2c3ccccc3C=Cc4ccccc24)CC1
INAMRINONE,CHEMBL12856,NC1=CC(=CNC1=O)c2ccncc2
DISOPYRAMIDE,CHEMBL517,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C
SPARTEINE,CHEMBL412873,C1CCN2C[C@H]3C[C@H](CN4CCCC[C@@H]34)[C@H]2C1
VORINOSTAT,CHEMBL98,ONC(=O)CCCCCCC(=O)Nc1ccccc1
PEFLOXACIN,CHEMBL267648,CCN1C=C(C(=O)O)C(=O)c2cc(F)c(cc12)N3CCN(C)CC3
IBUPROFEN,CHEMBL521,CC(C)Cc1ccc(cc1)C(C)C(=O)O
CLOMETACIN,CHEMBL13376,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1
FLUNITRAZEPAM,CHEMBL13280,CN1C(=O)CN=C(c2ccccc2F)c3cc(ccc13)[N+](=O)[O-]
NITRAZEPAM,CHEMBL13209,[O-][N+](=O)c1ccc2NC(=O)CN=C(c3ccccc3)c2c1
METHOXAMINE,CHEMBL524,COc1ccc(OC)c(c1)C(O)C(C)N
PROPOFOL,CHEMBL526,CC(C)c1cccc(C(C)C)c1O
PIROXICAM,CHEMBL527,CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc3ccccn3
CEFTIZOXIME,CHEMBL528,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(=O)O)\c3csc(N)n3
PHENYLBUTAZONE,CHEMBL101,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3
AZITHROMYCIN,CHEMBL529,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
AMDINOCILLIN,CHEMBL530,CC1(C)S[C@@H]2[C@H](\N=C\N3CCCCCC3)C(=O)N2[C@H]1C(=O)O
PERGOLIDE,CHEMBL531,CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34
ERYTHROMYCIN,CHEMBL532,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
IBUTILIDE,CHEMBL533,CCCCCCCN(CC)CCCC(O)c1ccc(NS(=O)(=O)C)cc1
PROGESTERONE,CHEMBL103,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
OXATOMIDE,CHEMBL13828,O=C1Nc2ccccc2N1CCCN3CCN(CC3)C(c4ccccc4)c5ccccc5
KETOTIFEN,CHEMBL534,CN1CCC(=C2c3ccccc3CC(=O)c4sccc24)CC1
SUNITINIB,CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C
HYDROQUINONE,CHEMBL537,Oc1ccc(O)cc1
ACETIC ACID,CHEMBL539,CC(=O)O
BENZOIC ACID,CHEMBL541,OC(=O)c1ccccc1
AMINOBENZOIC ACID,CHEMBL542,Nc1ccc(cc1)C(=O)O
TRICHLOROACETIC ACID,CHEMBL14053,OC(=O)C(Cl)(Cl)Cl
PHENOL,CHEMBL14060,Oc1ccccc1
MEQUINOL,CHEMBL544,COc1ccc(O)cc1
CLOTRIMAZOLE,CHEMBL104,Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4
MITOMYCIN,CHEMBL105,CO[C@]12[C@H]3N[C@H]3CN1C4=C([C@H]2COC(=O)N)C(=O)C(=C(C)C4=O)N
ALCOHOL,CHEMBL545,CCO
OXPRENOLOL,CHEMBL546,CC(C)NCC(O)COc1ccccc1OCC=C
FLUCONAZOLE,CHEMBL106,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F
ISOTRETINOIN,CHEMBL547,C\C(=C\C(=O)O)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
ILOPERIDONE,CHEMBL14376,COc1cc(ccc1OCCCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)C
DINOPROSTONE,CHEMBL548,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(=O)O
NEOSTIGMINE,CHEMBL278020,CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C
REBOXETINE,CHEMBL14370,CCOc1ccccc1OC(C2CNCCO2)c3ccccc3
CITALOPRAM,CHEMBL549,CN(C)CCCC1(OCc2cc(ccc12)C#N)c3ccc(F)cc3
PILOCARPINE,CHEMBL550,CC[C@H]1[C@@H](Cc2cncn2C)COC1=O
COLCHICINE,CHEMBL107,COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C
ERLOTINIB,CHEMBL553,COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC
LAPATINIB,CHEMBL554,CS(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2
TRIFLUPERIDOL,CHEMBL15023,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3cccc(c3)C(F)(F)F
CARBAMAZEPINE,CHEMBL108,NC(=O)N1c2ccccc2C=Cc3ccccc13
YOHIMBINE,CHEMBL15245,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12
VALPROIC ACID,CHEMBL109,CCCC(CCC)C(=O)O
TEMAFLOXACIN,CHEMBL277100,CC1CN(CCN1)c2cc3N(C=C(C(=O)O)C(=O)c3cc2F)c4ccc(F)cc4F
BENZNIDAZOLE,CHEMBL110,[O-][N+](=O)c1nccn1CC(=O)NCc2ccccc2
DEFEROXAMINE,CHEMBL556,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
MEXILETINE,CHEMBL558,CC(N)COc1c(C)cccc1C
DEXTROTHYROXINE,CHEMBL559,N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
